Date,Quantity Sold (kg),Unit Price (NGN),Total Sales Value (NGN),Opening Stock (kg),Closing Stock (kg),Restocked Quantity (kg),Supplier Name,Supplier Cost (NGN),Transport Cost (NGN),Store Location,Season
4/6/2015,247,234,57697,252,16,236,Ogun Growers,190,5072,Ibadan,Dry Season
4/7/2015,119,184,21935,103,64,39,Ogun Growers,132,5527,"Kano, Sabon Gari",Dry Season
4/8/2015,175,173,30242,168,66,102,Jigawa Farm,132,8068,"Abuja, Wuse",Dry Season
4/9/2015,259,246,63793,122,-66,188,Kaduna Suppliers,177,6848,"Abuja, Wuse",Dry Season
4/10/2015,276,196,53991,165,-90,255,Jigawa Farm,138,5948,Port Harcourt,Dry Season
4/11/2015,268,210,56346,116,-102,218,Local Farmer,164,7839,"Lagos, Yaba",Dry Season
4/12/2015,210,223,46872,107,-23,130,Kaduna Suppliers,201,8245,Port Harcourt,Dry Season
4/13/2015,289,211,61054,160,-87,247,Ogun Growers,166,7849,"Lagos, Yaba",Dry Season
4/14/2015,182,182,33128,219,83,136,Ogun Growers,141,8465,"Lagos, Yaba",Dry Season
4/15/2015,275,198,54553,191,-13,204,Local Farmer,166,6903,"Abuja, Wuse",Dry Season
4/16/2015,242,195,47231,261,56,205,Jigawa Farm,138,7643,"Lagos, Yaba",Dry Season
4/17/2015,229,171,39082,175,18,157,Local Farmer,132,8512,"Kano, Sabon Gari",Dry Season
4/18/2015,192,225,43229,176,71,105,Kaduna Suppliers,195,9249,"Abuja, Wuse",Dry Season
4/19/2015,237,172,40689,280,65,215,Kaduna Suppliers,124,9967,"Kano, Sabon Gari",Dry Season
4/20/2015,106,184,19454,246,231,15,Ogun Growers,159,3902,"Abuja, Wuse",Dry Season
4/21/2015,209,229,47800,249,100,149,Local Farmer,179,9774,"Kano, Sabon Gari",Dry Season
4/22/2015,163,178,29088,153,9,144,Ogun Growers,157,9601,Ibadan,Dry Season
4/23/2015,225,240,54088,232,38,194,Ogun Growers,215,5592,"Lagos, Yaba",Dry Season
4/24/2015,274,214,58571,288,55,233,Ogun Growers,155,6500,"Lagos, Yaba",Dry Season
4/25/2015,123,211,25936,150,76,74,Ogun Growers,149,5396,"Abuja, Wuse",Dry Season
4/26/2015,149,220,32785,153,37,116,Local Farmer,177,9829,Ibadan,Dry Season
4/27/2015,265,202,53587,249,36,213,Ogun Growers,142,4999,"Lagos, Yaba",Dry Season
4/28/2015,226,218,49219,184,29,155,Kaduna Suppliers,167,4737,"Abuja, Wuse",Dry Season
4/29/2015,210,237,49719,146,35,111,Ogun Growers,203,5525,"Kano, Sabon Gari",Dry Season
4/30/2015,118,247,29142,109,61,48,Jigawa Farm,188,3269,Port Harcourt,Dry Season
5/1/2015,193,204,39305,105,-39,144,Kaduna Suppliers,169,5378,Ibadan,Dry Season
5/2/2015,286,250,71432,215,-18,233,Kaduna Suppliers,221,3517,"Lagos, Yaba",Dry Season
5/3/2015,235,183,43020,270,122,148,Jigawa Farm,133,8286,"Kano, Sabon Gari",Dry Season
5/4/2015,256,209,53571,184,13,171,Local Farmer,159,5294,Ibadan,Dry Season
5/5/2015,108,179,19337,116,59,57,Kaduna Suppliers,135,8452,"Abuja, Wuse",Dry Season
5/6/2015,158,200,31646,203,135,68,Ogun Growers,151,6929,Port Harcourt,Dry Season
5/7/2015,163,247,40234,291,200,91,Kaduna Suppliers,194,3028,Ibadan,Dry Season
5/8/2015,240,215,51511,150,-65,215,Kaduna Suppliers,161,8792,Port Harcourt,Dry Season
5/9/2015,131,213,27888,220,93,127,Local Farmer,186,7493,"Kano, Sabon Gari",Dry Season
5/10/2015,241,197,47420,199,19,180,Kaduna Suppliers,157,7778,Port Harcourt,Dry Season
5/11/2015,234,230,53725,129,-44,173,Local Farmer,183,5419,Ibadan,Dry Season
5/12/2015,103,198,20364,241,191,50,Jigawa Farm,151,9622,Ibadan,Dry Season
5/13/2015,103,207,21317,176,158,18,Jigawa Farm,185,5458,"Abuja, Wuse",Dry Season
5/14/2015,155,239,37056,189,37,152,Local Farmer,215,7896,"Abuja, Wuse",Dry Season
5/15/2015,282,180,50726,240,32,208,Local Farmer,141,3246,"Abuja, Wuse",Dry Season
5/16/2015,255,251,64046,236,74,162,Ogun Growers,199,9929,Ibadan,Dry Season
5/17/2015,163,236,38421,282,213,69,Ogun Growers,196,8232,"Abuja, Wuse",Dry Season
5/18/2015,271,195,52853,243,30,213,Local Farmer,137,3998,"Lagos, Yaba",Dry Season
5/19/2015,186,171,31887,220,41,179,Kaduna Suppliers,141,8467,"Kano, Sabon Gari",Dry Season
5/20/2015,189,217,41071,253,155,98,Kaduna Suppliers,158,7249,"Abuja, Wuse",Dry Season
5/21/2015,259,215,55564,121,-107,228,Local Farmer,183,8267,Port Harcourt,Dry Season
5/22/2015,204,248,50665,117,-34,151,Kaduna Suppliers,188,6088,Port Harcourt,Dry Season
5/23/2015,269,246,66267,111,-142,253,Jigawa Farm,181,8297,"Lagos, Yaba",Dry Season
5/24/2015,204,178,36364,283,145,138,Ogun Growers,152,8957,Port Harcourt,Dry Season
5/25/2015,252,208,52377,191,-12,203,Ogun Growers,155,5173,"Lagos, Yaba",Dry Season
5/26/2015,159,195,30927,163,33,130,Jigawa Farm,155,5998,Port Harcourt,Dry Season
5/27/2015,299,209,62443,252,-15,267,Local Farmer,157,3982,Port Harcourt,Dry Season
5/28/2015,294,183,53706,165,-36,201,Ogun Growers,143,5535,"Lagos, Yaba",Dry Season
5/29/2015,240,200,47947,270,54,216,Jigawa Farm,176,9409,"Abuja, Wuse",Dry Season
5/30/2015,255,239,60834,249,26,223,Kaduna Suppliers,174,4979,Ibadan,Dry Season
5/31/2015,102,237,24174,233,178,55,Local Farmer,199,4588,"Lagos, Yaba",Dry Season
6/1/2015,53,303,16075,161,129,32,Jigawa Farm,268,3941,"Kano, Sabon Gari",Rainy Season
6/2/2015,94,289,27187,209,186,23,Jigawa Farm,217,9743,"Kano, Sabon Gari",Rainy Season
6/3/2015,130,257,33469,201,81,120,Kaduna Suppliers,225,3060,Port Harcourt,Rainy Season
6/4/2015,168,278,46737,263,113,150,Jigawa Farm,230,4561,Port Harcourt,Rainy Season
6/5/2015,84,265,22237,187,165,22,Ogun Growers,194,9918,Port Harcourt,Rainy Season
6/6/2015,130,286,37199,200,150,50,Jigawa Farm,237,3903,Port Harcourt,Rainy Season
6/7/2015,79,300,23675,169,166,3,Jigawa Farm,264,5330,Ibadan,Rainy Season
6/8/2015,180,284,51081,239,62,177,Ogun Growers,247,6289,Port Harcourt,Rainy Season
6/9/2015,198,270,53376,205,93,112,Kaduna Suppliers,192,7442,"Abuja, Wuse",Rainy Season
6/10/2015,139,272,37830,157,39,118,Kaduna Suppliers,199,9929,"Kano, Sabon Gari",Rainy Season
6/11/2015,99,295,29156,114,47,67,Jigawa Farm,226,7178,"Abuja, Wuse",Rainy Season
6/12/2015,63,301,18942,244,207,37,Local Farmer,262,7324,Ibadan,Rainy Season
6/13/2015,157,279,43855,211,134,77,Ogun Growers,241,9468,"Lagos, Yaba",Rainy Season
6/14/2015,187,283,52841,180,11,169,Jigawa Farm,235,4294,"Abuja, Wuse",Rainy Season
6/15/2015,77,267,20558,133,108,25,Kaduna Suppliers,197,9145,"Kano, Sabon Gari",Rainy Season
6/16/2015,179,257,46088,264,118,146,Local Farmer,220,5785,"Lagos, Yaba",Rainy Season
6/17/2015,192,256,49221,262,165,97,Local Farmer,209,8561,"Kano, Sabon Gari",Rainy Season
6/18/2015,153,296,45283,125,52,73,Jigawa Farm,263,5196,"Kano, Sabon Gari",Rainy Season
6/19/2015,153,307,46981,182,64,118,Kaduna Suppliers,237,5909,Port Harcourt,Rainy Season
6/20/2015,164,278,45639,196,52,144,Ogun Growers,222,5814,"Abuja, Wuse",Rainy Season
6/21/2015,148,261,38669,188,116,72,Jigawa Farm,230,6424,Port Harcourt,Rainy Season
6/22/2015,107,296,31721,140,41,99,Kaduna Suppliers,210,8989,"Lagos, Yaba",Rainy Season
6/23/2015,53,303,16074,173,182,0,Jigawa Farm,249,9851,"Lagos, Yaba",Rainy Season
6/24/2015,61,294,17954,100,126,0,Jigawa Farm,247,3386,"Kano, Sabon Gari",Rainy Season
6/25/2015,89,310,27600,159,109,50,Jigawa Farm,277,4097,"Kano, Sabon Gari",Rainy Season
6/26/2015,127,301,38165,128,51,77,Local Farmer,222,4267,"Abuja, Wuse",Rainy Season
6/27/2015,76,297,22557,262,282,0,Jigawa Farm,252,6372,Ibadan,Rainy Season
6/28/2015,186,267,49697,170,10,160,Jigawa Farm,201,6409,"Lagos, Yaba",Rainy Season
6/29/2015,192,283,54322,213,96,117,Local Farmer,213,9778,"Lagos, Yaba",Rainy Season
6/30/2015,183,281,51343,247,85,162,Local Farmer,228,3874,"Abuja, Wuse",Rainy Season
7/1/2015,122,269,32802,272,213,59,Local Farmer,214,7808,Ibadan,Rainy Season
7/2/2015,120,302,36289,143,99,44,Kaduna Suppliers,263,7184,Ibadan,Rainy Season
7/3/2015,104,266,27623,102,77,25,Ogun Growers,196,4116,Ibadan,Rainy Season
7/4/2015,88,285,25117,251,236,15,Jigawa Farm,252,8065,"Lagos, Yaba",Rainy Season
7/5/2015,103,270,27765,129,86,43,Local Farmer,191,6515,Ibadan,Rainy Season
7/6/2015,152,296,44985,146,73,73,Kaduna Suppliers,224,4457,"Kano, Sabon Gari",Rainy Season
7/7/2015,67,310,20747,116,59,57,Local Farmer,256,6387,Ibadan,Rainy Season
7/8/2015,190,256,48629,299,114,185,Local Farmer,210,8279,"Kano, Sabon Gari",Rainy Season
7/9/2015,185,293,54282,216,110,106,Local Farmer,232,4604,"Lagos, Yaba",Rainy Season
7/10/2015,53,300,15895,215,230,0,Local Farmer,250,5877,Ibadan,Rainy Season
7/11/2015,184,281,51779,252,129,123,Jigawa Farm,238,7862,Port Harcourt,Rainy Season
7/12/2015,150,287,43025,283,159,124,Jigawa Farm,212,9955,Port Harcourt,Rainy Season
7/13/2015,180,279,50180,203,79,124,Jigawa Farm,205,8584,Port Harcourt,Rainy Season
7/14/2015,198,307,60812,155,-20,175,Jigawa Farm,266,5691,"Abuja, Wuse",Rainy Season
7/15/2015,117,302,35293,105,29,76,Local Farmer,225,4780,Ibadan,Rainy Season
7/16/2015,112,289,32329,248,194,54,Kaduna Suppliers,254,8269,Ibadan,Rainy Season
7/17/2015,54,274,14777,234,193,41,Ogun Growers,200,4515,Ibadan,Rainy Season
7/18/2015,187,279,52131,179,6,173,Local Farmer,222,9814,Port Harcourt,Rainy Season
7/19/2015,144,284,40941,147,13,134,Local Farmer,224,9092,"Lagos, Yaba",Rainy Season
7/20/2015,171,295,50508,274,111,163,Ogun Growers,213,8533,Ibadan,Rainy Season
7/21/2015,165,313,51705,114,-34,148,Local Farmer,233,3570,Port Harcourt,Rainy Season
7/22/2015,81,277,22474,128,129,0,Ogun Growers,236,4512,Ibadan,Rainy Season
7/23/2015,58,281,16281,104,51,53,Ogun Growers,252,3386,"Abuja, Wuse",Rainy Season
7/24/2015,80,280,22394,182,174,8,Ogun Growers,206,6409,"Abuja, Wuse",Rainy Season
7/25/2015,89,297,26420,154,78,76,Ogun Growers,211,8751,"Lagos, Yaba",Rainy Season
7/26/2015,164,266,43580,237,112,125,Kaduna Suppliers,189,3160,Port Harcourt,Rainy Season
7/27/2015,156,288,44940,234,120,114,Jigawa Farm,255,9118,"Lagos, Yaba",Rainy Season
7/28/2015,100,296,29564,247,165,82,Ogun Growers,241,5338,"Kano, Sabon Gari",Rainy Season
7/29/2015,117,270,31606,249,163,86,Local Farmer,192,8367,Ibadan,Rainy Season
7/30/2015,109,277,30152,272,206,66,Kaduna Suppliers,226,7168,"Abuja, Wuse",Rainy Season
7/31/2015,158,264,41691,295,207,88,Ogun Growers,230,6292,Port Harcourt,Rainy Season
8/1/2015,59,297,17518,213,162,51,Local Farmer,260,5747,"Abuja, Wuse",Rainy Season
8/2/2015,195,276,53759,293,186,107,Jigawa Farm,224,3630,Ibadan,Rainy Season
8/3/2015,178,254,45145,109,-21,130,Jigawa Farm,187,6473,"Abuja, Wuse",Rainy Season
8/4/2015,100,314,31445,253,196,57,Local Farmer,235,5792,Port Harcourt,Rainy Season
8/5/2015,74,307,22687,236,206,30,Ogun Growers,270,3165,"Lagos, Yaba",Rainy Season
8/6/2015,73,281,20489,140,159,0,Jigawa Farm,249,8131,Port Harcourt,Rainy Season
8/7/2015,78,267,20794,190,153,37,Local Farmer,194,8376,"Lagos, Yaba",Rainy Season
8/8/2015,57,312,17770,133,118,15,Jigawa Farm,276,4085,"Lagos, Yaba",Rainy Season
8/9/2015,127,259,32937,169,52,117,Kaduna Suppliers,201,6357,"Kano, Sabon Gari",Rainy Season
8/10/2015,93,258,23985,223,175,48,Kaduna Suppliers,231,5562,Ibadan,Rainy Season
8/11/2015,63,259,16342,242,259,0,Local Farmer,182,7923,"Kano, Sabon Gari",Rainy Season
8/12/2015,183,253,46311,121,-36,157,Kaduna Suppliers,212,8746,"Kano, Sabon Gari",Rainy Season
8/13/2015,174,294,51220,133,5,128,Jigawa Farm,217,7349,"Abuja, Wuse",Rainy Season
8/14/2015,52,273,14203,278,324,0,Local Farmer,242,4040,"Lagos, Yaba",Rainy Season
8/15/2015,96,253,24334,186,93,93,Local Farmer,179,4833,"Lagos, Yaba",Rainy Season
8/16/2015,136,313,42622,178,49,129,Jigawa Farm,274,5239,"Lagos, Yaba",Rainy Season
8/17/2015,191,269,51406,160,-31,191,Jigawa Farm,193,7127,Ibadan,Rainy Season
8/18/2015,171,259,44266,166,73,93,Kaduna Suppliers,218,8661,"Lagos, Yaba",Rainy Season
8/19/2015,131,290,38036,252,195,57,Local Farmer,207,4607,"Lagos, Yaba",Rainy Season
8/20/2015,56,315,17624,110,110,0,Kaduna Suppliers,245,9113,Ibadan,Rainy Season
8/21/2015,148,265,39154,188,97,91,Kaduna Suppliers,203,6849,"Lagos, Yaba",Rainy Season
8/22/2015,73,310,22622,143,158,0,Local Farmer,245,4751,"Abuja, Wuse",Rainy Season
8/23/2015,195,285,55643,224,80,144,Jigawa Farm,231,9218,Port Harcourt,Rainy Season
8/24/2015,63,268,16886,282,287,0,Kaduna Suppliers,200,6241,Ibadan,Rainy Season
8/25/2015,179,293,52491,149,-30,179,Ogun Growers,212,3972,"Abuja, Wuse",Rainy Season
8/26/2015,170,268,45588,232,121,111,Kaduna Suppliers,191,7337,Ibadan,Rainy Season
8/27/2015,139,283,39392,185,81,104,Jigawa Farm,225,5187,Ibadan,Rainy Season
8/28/2015,108,313,33755,165,116,49,Ogun Growers,219,7112,"Lagos, Yaba",Rainy Season
8/29/2015,175,290,50763,194,43,151,Ogun Growers,259,5923,"Kano, Sabon Gari",Rainy Season
8/30/2015,74,300,22198,292,294,0,Local Farmer,228,8983,Ibadan,Rainy Season
8/31/2015,92,268,24656,170,101,69,Kaduna Suppliers,223,5359,"Lagos, Yaba",Rainy Season
9/1/2015,100,258,25793,111,15,96,Local Farmer,207,7122,Ibadan,Rainy Season
9/2/2015,163,299,48749,274,115,159,Local Farmer,263,8996,Port Harcourt,Rainy Season
9/3/2015,168,267,44886,259,101,158,Ogun Growers,226,3108,"Abuja, Wuse",Rainy Season
9/4/2015,175,304,53229,201,122,79,Jigawa Farm,239,9812,Ibadan,Rainy Season
9/5/2015,88,263,23119,191,157,34,Ogun Growers,233,9093,Ibadan,Rainy Season
9/6/2015,147,296,43562,203,104,99,Jigawa Farm,219,6303,"Kano, Sabon Gari",Rainy Season
9/7/2015,173,271,46951,140,22,118,Ogun Growers,195,5745,Ibadan,Rainy Season
9/8/2015,115,297,34124,222,116,106,Ogun Growers,210,8712,Ibadan,Rainy Season
9/9/2015,102,261,26656,122,103,19,Local Farmer,189,7824,Port Harcourt,Rainy Season
9/10/2015,83,314,26048,280,284,0,Local Farmer,233,8884,"Abuja, Wuse",Rainy Season
9/11/2015,69,308,21237,289,307,0,Ogun Growers,221,9188,"Kano, Sabon Gari",Rainy Season
9/12/2015,141,303,42780,295,242,53,Kaduna Suppliers,269,5175,"Lagos, Yaba",Rainy Season
9/13/2015,97,281,27219,145,56,89,Ogun Growers,202,4763,Port Harcourt,Rainy Season
9/14/2015,180,262,47241,136,-8,144,Jigawa Farm,187,9566,"Kano, Sabon Gari",Rainy Season
9/15/2015,171,253,43289,154,-1,155,Kaduna Suppliers,188,5650,Port Harcourt,Rainy Season
9/16/2015,94,295,27749,238,221,17,Local Farmer,214,9283,"Kano, Sabon Gari",Rainy Season
9/17/2015,63,304,19155,270,258,12,Kaduna Suppliers,229,5732,"Lagos, Yaba",Rainy Season
9/18/2015,132,259,34217,196,155,41,Jigawa Farm,229,3410,"Lagos, Yaba",Rainy Season
9/19/2015,68,275,18669,192,220,0,Jigawa Farm,221,8275,Ibadan,Rainy Season
9/20/2015,179,256,45840,298,120,178,Jigawa Farm,193,4628,Port Harcourt,Rainy Season
9/21/2015,195,285,55595,212,66,146,Kaduna Suppliers,250,8675,"Lagos, Yaba",Rainy Season
9/22/2015,166,266,44106,117,34,83,Kaduna Suppliers,187,4792,Port Harcourt,Rainy Season
9/23/2015,137,267,36637,278,194,84,Ogun Growers,191,5049,"Kano, Sabon Gari",Rainy Season
9/24/2015,174,272,47378,134,-32,166,Local Farmer,244,7818,Ibadan,Rainy Season
9/25/2015,139,253,35119,224,159,65,Jigawa Farm,208,4928,"Lagos, Yaba",Rainy Season
9/26/2015,100,283,28346,103,29,74,Kaduna Suppliers,203,8835,Ibadan,Rainy Season
9/27/2015,67,279,18662,244,209,35,Ogun Growers,235,4067,"Abuja, Wuse",Rainy Season
9/28/2015,160,309,49362,102,-57,159,Local Farmer,236,9105,"Lagos, Yaba",Rainy Season
9/29/2015,108,309,33418,129,117,12,Kaduna Suppliers,251,3347,"Lagos, Yaba",Rainy Season
9/30/2015,126,291,36613,187,76,111,Jigawa Farm,235,4205,"Lagos, Yaba",Rainy Season
10/1/2015,161,235,37792,152,39,113,Local Farmer,174,6852,Ibadan,Dry Season
10/2/2015,103,201,20682,150,137,13,Jigawa Farm,160,6230,"Kano, Sabon Gari",Dry Season
10/3/2015,210,232,48663,116,-1,117,Kaduna Suppliers,197,6290,"Abuja, Wuse",Dry Season
10/4/2015,204,180,36635,291,105,186,Jigawa Farm,148,4144,Port Harcourt,Dry Season
10/5/2015,208,216,44860,136,-19,155,Jigawa Farm,165,7656,"Abuja, Wuse",Dry Season
10/6/2015,299,250,74809,178,-44,222,Local Farmer,217,6926,Ibadan,Dry Season
10/7/2015,154,207,31950,282,178,104,Ogun Growers,153,9088,"Abuja, Wuse",Dry Season
10/8/2015,281,248,69573,215,-50,265,Jigawa Farm,220,3136,Port Harcourt,Dry Season
10/9/2015,182,203,36992,100,-14,114,Ogun Growers,162,3972,"Kano, Sabon Gari",Dry Season
10/10/2015,142,189,26875,153,81,72,Ogun Growers,138,5853,"Lagos, Yaba",Dry Season
10/11/2015,168,245,41192,265,172,93,Local Farmer,183,6266,"Abuja, Wuse",Dry Season
10/12/2015,169,207,35057,186,60,126,Jigawa Farm,153,4909,"Kano, Sabon Gari",Dry Season
10/13/2015,283,173,49024,288,94,194,Jigawa Farm,152,7859,"Lagos, Yaba",Dry Season
10/14/2015,108,249,26880,243,147,96,Ogun Growers,210,4262,Port Harcourt,Dry Season
10/15/2015,164,188,30866,240,138,102,Ogun Growers,153,5783,"Lagos, Yaba",Dry Season
10/16/2015,104,224,23296,158,119,39,Local Farmer,157,5617,"Abuja, Wuse",Dry Season
10/17/2015,186,180,33475,111,-36,147,Kaduna Suppliers,156,4123,Ibadan,Dry Season
10/18/2015,189,216,40876,115,-72,187,Jigawa Farm,194,5241,Port Harcourt,Dry Season
10/19/2015,286,195,55912,235,-36,271,Ogun Growers,175,9185,"Abuja, Wuse",Dry Season
10/20/2015,203,206,41736,163,7,156,Jigawa Farm,167,9374,Port Harcourt,Dry Season
10/21/2015,129,229,29565,125,9,116,Kaduna Suppliers,175,5103,"Kano, Sabon Gari",Dry Season
10/22/2015,184,171,31376,235,65,170,Jigawa Farm,150,7056,"Lagos, Yaba",Dry Season
10/23/2015,240,237,56805,244,69,175,Ogun Growers,186,3103,"Kano, Sabon Gari",Dry Season
10/24/2015,229,168,38565,290,83,207,Ogun Growers,139,7739,Port Harcourt,Dry Season
10/25/2015,102,191,19485,175,93,82,Kaduna Suppliers,139,4807,Port Harcourt,Dry Season
10/26/2015,269,242,65194,275,51,224,Ogun Growers,199,5223,"Abuja, Wuse",Dry Season
10/27/2015,244,224,54695,173,-39,212,Local Farmer,188,4255,"Abuja, Wuse",Dry Season
10/28/2015,128,232,29660,127,9,118,Jigawa Farm,175,7683,Port Harcourt,Dry Season
10/29/2015,198,171,33834,188,3,185,Local Farmer,148,7646,"Lagos, Yaba",Dry Season
10/30/2015,286,186,53087,217,24,193,Local Farmer,161,3959,Ibadan,Dry Season
10/31/2015,191,203,38727,215,106,109,Local Farmer,173,7024,Ibadan,Dry Season
11/1/2015,285,209,59624,276,68,208,Local Farmer,149,9770,"Abuja, Wuse",Dry Season
11/2/2015,146,204,29837,221,91,130,Local Farmer,169,5204,"Abuja, Wuse",Dry Season
11/3/2015,203,170,34576,268,135,133,Kaduna Suppliers,143,3958,Ibadan,Dry Season
11/4/2015,198,194,38374,123,7,116,Ogun Growers,172,5764,"Abuja, Wuse",Dry Season
11/5/2015,270,194,52450,265,9,256,Ogun Growers,161,4388,Ibadan,Dry Season
11/6/2015,209,170,35493,164,-36,200,Kaduna Suppliers,135,7207,"Kano, Sabon Gari",Dry Season
11/7/2015,135,220,29687,187,76,111,Local Farmer,190,4785,Port Harcourt,Dry Season
11/8/2015,112,199,22329,229,148,81,Local Farmer,145,5581,"Abuja, Wuse",Dry Season
11/9/2015,152,170,25888,161,97,64,Jigawa Farm,124,8548,"Kano, Sabon Gari",Dry Season
11/10/2015,226,195,44089,170,14,156,Ogun Growers,147,8033,"Abuja, Wuse",Dry Season
11/11/2015,124,192,23809,139,92,47,Ogun Growers,168,9194,Ibadan,Dry Season
11/12/2015,185,180,33332,212,68,144,Kaduna Suppliers,132,7058,"Abuja, Wuse",Dry Season
11/13/2015,187,207,38622,201,48,153,Local Farmer,161,4457,"Kano, Sabon Gari",Dry Season
11/14/2015,143,233,33297,117,-25,142,Jigawa Farm,186,4091,"Lagos, Yaba",Dry Season
11/15/2015,200,217,43490,182,1,181,Ogun Growers,163,5462,Ibadan,Dry Season
11/16/2015,237,178,42079,142,-79,221,Ogun Growers,136,6773,"Lagos, Yaba",Dry Season
11/17/2015,171,192,32883,174,32,142,Jigawa Farm,151,4966,"Kano, Sabon Gari",Dry Season
11/18/2015,150,225,33781,217,110,107,Ogun Growers,193,9562,"Kano, Sabon Gari",Dry Season
11/19/2015,261,204,53308,262,15,247,Ogun Growers,178,7789,"Abuja, Wuse",Dry Season
11/20/2015,224,210,47095,114,-72,186,Ogun Growers,182,4487,Port Harcourt,Dry Season
11/21/2015,101,172,17386,120,23,97,Kaduna Suppliers,136,7909,"Abuja, Wuse",Dry Season
11/22/2015,137,175,24031,198,63,135,Ogun Growers,150,7995,"Kano, Sabon Gari",Dry Season
11/23/2015,222,212,47048,176,-12,188,Kaduna Suppliers,160,9610,Ibadan,Dry Season
11/24/2015,123,217,26646,276,221,55,Jigawa Farm,166,4777,Ibadan,Dry Season
11/25/2015,112,176,19720,267,205,62,Kaduna Suppliers,157,3836,Ibadan,Dry Season
11/26/2015,258,189,48738,239,14,225,Local Farmer,138,3703,"Abuja, Wuse",Dry Season
11/27/2015,225,218,49014,100,-91,191,Ogun Growers,155,6567,Port Harcourt,Dry Season
11/28/2015,269,181,48569,119,-120,239,Jigawa Farm,127,8160,"Abuja, Wuse",Dry Season
11/29/2015,207,184,38183,266,140,126,Kaduna Suppliers,149,4036,Ibadan,Dry Season
11/30/2015,112,202,22569,147,103,44,Ogun Growers,154,3297,Port Harcourt,Dry Season
12/1/2015,113,195,21999,248,201,47,Kaduna Suppliers,156,8723,"Kano, Sabon Gari",Dry Season
12/2/2015,145,228,33062,145,2,143,Local Farmer,203,3002,"Abuja, Wuse",Dry Season
12/3/2015,194,247,47851,274,139,135,Jigawa Farm,189,8094,Ibadan,Dry Season
12/4/2015,168,196,32981,213,55,158,Jigawa Farm,155,8357,"Kano, Sabon Gari",Dry Season
12/5/2015,295,181,53304,194,-55,249,Kaduna Suppliers,141,7708,"Lagos, Yaba",Dry Season
12/6/2015,238,187,44425,219,41,178,Jigawa Farm,142,7731,Ibadan,Dry Season
12/7/2015,115,231,26604,288,257,31,Kaduna Suppliers,205,8684,"Lagos, Yaba",Dry Season
12/8/2015,104,242,25179,238,162,76,Ogun Growers,170,7983,Port Harcourt,Dry Season
12/9/2015,211,179,37874,112,-86,198,Local Farmer,129,8933,Port Harcourt,Dry Season
12/10/2015,241,176,42395,234,24,210,Kaduna Suppliers,140,9395,"Lagos, Yaba",Dry Season
12/11/2015,120,179,21505,296,188,108,Jigawa Farm,128,4379,"Lagos, Yaba",Dry Season
12/12/2015,231,223,51479,113,-51,164,Jigawa Farm,161,7710,Ibadan,Dry Season
12/13/2015,256,170,43458,291,131,160,Jigawa Farm,140,6030,Ibadan,Dry Season
12/14/2015,144,202,29151,177,108,69,Kaduna Suppliers,152,4431,Port Harcourt,Dry Season
12/15/2015,278,214,59497,202,-59,261,Ogun Growers,181,3890,"Kano, Sabon Gari",Dry Season
12/16/2015,284,213,60535,183,-31,214,Ogun Growers,183,4002,Ibadan,Dry Season
12/17/2015,122,171,20860,292,188,104,Local Farmer,123,3850,"Abuja, Wuse",Dry Season
12/18/2015,297,246,72996,239,41,198,Ogun Growers,174,6749,"Abuja, Wuse",Dry Season
12/19/2015,168,216,36335,259,185,74,Local Farmer,177,6630,"Lagos, Yaba",Dry Season
12/20/2015,248,246,61009,281,41,240,Local Farmer,173,6942,Ibadan,Dry Season
12/21/2015,282,183,51660,118,-104,222,Jigawa Farm,142,8280,"Kano, Sabon Gari",Dry Season
12/22/2015,283,210,59508,190,-3,193,Local Farmer,167,5245,"Abuja, Wuse",Dry Season
12/23/2015,183,201,36842,135,38,97,Local Farmer,144,3685,Port Harcourt,Dry Season
12/24/2015,201,207,41579,133,16,117,Ogun Growers,183,5669,"Lagos, Yaba",Dry Season
12/25/2015,171,182,31179,297,186,111,Ogun Growers,157,5365,Ibadan,Dry Season
12/26/2015,279,244,68143,226,30,196,Local Farmer,191,7914,"Abuja, Wuse",Dry Season
12/27/2015,258,230,59440,281,68,213,Local Farmer,187,6869,"Kano, Sabon Gari",Dry Season
12/28/2015,156,184,28758,155,22,133,Jigawa Farm,147,9687,Port Harcourt,Dry Season
12/29/2015,163,177,28843,244,159,85,Kaduna Suppliers,126,5430,"Abuja, Wuse",Dry Season
12/30/2015,104,207,21513,279,179,100,Kaduna Suppliers,166,7434,Ibadan,Dry Season
12/31/2015,289,212,61264,154,-98,252,Ogun Growers,188,5394,"Lagos, Yaba",Dry Season
1/1/2016,146,219,32012,193,105,88,Ogun Growers,177,6394,"Lagos, Yaba",Dry Season
1/2/2016,272,256,69627,157,-37,194,Kaduna Suppliers,186,9858,"Kano, Sabon Gari",Dry Season
1/3/2016,289,201,58040,102,-122,224,Kaduna Suppliers,173,3152,"Abuja, Wuse",Dry Season
1/4/2016,181,222,40168,164,66,98,Local Farmer,162,9365,"Kano, Sabon Gari",Dry Season
1/5/2016,247,182,44832,105,-121,226,Ogun Growers,138,7560,Ibadan,Dry Season
1/6/2016,153,262,40048,217,151,66,Local Farmer,210,7550,Ibadan,Dry Season
1/7/2016,127,238,30175,186,84,102,Local Farmer,188,5961,"Kano, Sabon Gari",Dry Season
1/8/2016,260,239,62186,198,12,186,Kaduna Suppliers,208,9683,Port Harcourt,Dry Season
